name,city,department,region,type,website,email,phone,contact_type,email_verified,last_verified,photo_url
Château de Séréville,La Belliole,77,Île-de-France,château,https://chateaudesereville.com,zcch@orange.fr,06 19 92 30 12,email+form,mx_ok,2026-06-07T18:24:30.247284,https://image.jimcdn.com/app/cms/image/transf/dimension=1920x10000:format=jpg/path/s9a3b095ae1dd5dd8/image/ibf878cd31912d5bd/version/1662550483/image.jpg
Château du Breuil,Garancières,78,Île-de-France,château,https://chateau-du-breuil.com,info@chateau-du-breuil.com,01 34 86 41 02,email+form,smtp_unknown,2026-06-07T18:24:55.260811,
Château de Bouffémont,Bouffémont,95,Île-de-France,château,https://chateaubouffemont.com,info@chateaubouffemont.com,01 39 91 20 94,email+form,smtp_ok,2026-06-07T18:22:22.581636,https://www.chateaubouffemont.com/blog/wp-content/uploads/2014/06/LogoCB.jpg
Château de Villiers-le-Mahieu,Villiers-le-Mahieu,78,Île-de-France,château,https://chateauvilliersmahieu.com,,,form,no_email,,
Domaine Malar,Guillerval,91,Île-de-France,domaine,https://domainemalar91.com,,06 61 78 88 83,phone+form,no_email,,https://www.domainemalar91.com/images/bandeau/photo-reception-exterieur.jpg
Domaine La Ville du Bois,Lumigny-Nesles-Ormeaux,77,Île-de-France,domaine,https://domainelavilledubois.com,lavilledubois77540@gmail.com,06 62 01 46 53,email+form,mx_ok,2026-06-07T18:26:38.721193,https://www.domainelavilledubois.com/uploads/news/10/img_1535.JPG?t=1769867640
Les Noces Royales,Carrières-sur-Seine,78,Île-de-France,salle,https://lesnocesroyales.com,contact@lesnocesroyales.com,01 39 14 12 02,email+form,smtp_unknown,2026-06-07T18:28:56.507291,https://www.lesnocesroyales.com/wp-content/uploads/2020/12/nr0070-1622x1080.jpg
La Scène,Vernouillet,78,Île-de-France,salle,https://lascene78.com,contact@lascene78.com,06 03 50 00 74,email+form,smtp_ok,2026-06-07T18:28:19.758677,https://lascene78.com/wp-content/uploads/2023/05/IMG_9003-1-768x1024.jpeg
Salle des Princes,Drancy,93,Île-de-France,salle,https://salledesprinces-drancy.fr,salledesprinces@yahoo.fr,06 16 27 65 55,email+form,mx_ok,2026-06-07T18:31:39.453340,https://salledesprinces-drancy.fr/images/slider-image-three.jpg
Au Jardin des Saules,Argenteuil,95,Île-de-France,salle,https://aujardindessaules.com,aujardindessaules@gmail.com,01 34 34 04 98,email+form,mx_ok,2026-06-07T18:21:35.149924,"https://static.wixstatic.com/media/745f2c_d9a1b75ae9924f6ab51def8c43bbe23c%7Emv2.jpg/v1/fit/w_2500,h_1330,al_c/745f2c_d9a1b75ae9924f6ab51def8c43bbe23c%7Emv2.jpg"
La Suite 91,Fleury Mérogis,91,Île-de-France,salle,https://lasuite91.net,contact@lasuite91.net,01 79 72 73 23,email+form,mx_ok,2026-06-07T18:28:31.600674,
Tassili Réception,Achères,78,Île-de-France,salle,https://letassilireception.com,letassili78@gmail.com,06 13 31 66 73,manual,unchecked,2026-06-07T18:31:55.620885,https://pub-bb2e103a32db4e198524a2e9ed8f35b4.r2.dev/8bc59668-eb5a-4c16-8674-e62db584772b/id-preview-41563f1b--4163be58-b2db-4acc-90cd-01512022c6bd.lovable.app-1780996170743.png
Domaine de la Beauvoisière,Avrainville,91,Île-de-France,domaine,https://domainedelabeauvoisiere.com,info@domainedelabeauvoisiere.com,01 78 83 80 34,email+form,unchecked,2026-06-07T18:25:26.851314,https://domainedelabeauvoisiere.com/wp-content/uploads/2021/07/portail01.jpg
Ferme d'Auxonnettes,Saint-Fargeau-Ponthierry,77,Île-de-France,ferme,https://ferme-auxonnettes.fr,info@ferme-auxonnettes.fr,01 64 09 83 01,manual,unchecked,2026-06-07T18:27:00.451113,https://ferme-auxonnettes.fr/img/PHOTO1.jpg
Abbaye de Cercanceaux,Souppes-sur-Loing,77,Île-de-France,atypique,https://abbaye-cercanceaux.fr,cercanceaux@orange.fr,06 11 63 77 93,email+phone,mx_ok,,
Prieuré Saint-Cyr,Saint-Cyr-sur-Morin,77,Île-de-France,atypique,https://prieuresaintcyr.com,info@prieuresaintcyr.com,06 17 60 82 55,manual,smtp_unknown,2026-06-07T18:31:08.329767,https://prieuresaintcyr.com/wp-content/uploads/2023/11/Vue-du-Prieure-de-Saint-cyr.jpg
Abbaye des Vaux de Cernay,Cernay-la-Ville,78,Île-de-France,atypique,https://domainedesvauxdecernay.fr,contact@domainedesvauxdecernay.fr,,manual,smtp_unknown,2026-06-07T18:21:24.508053,https://www.domainedesvauxdecernay.fr/wp-content/uploads/2025/12/mariage-champetre.jpeg
Ferme du Bout des Prés,Cernay-la-Ville,78,Île-de-France,ferme,https://www.lafermeduboutdespres.com,contact@lafermeduboutdespres.com,01 34 85 29 04,email+form,smtp_unknown,2026-06-07T18:27:25.951410,https://assets.comavoo.net/medias/W1siZiIsIjIwMjYvMDMvMTgvOHlnMDE1NWNyel9Ob2lyX1JvdWdlX05vX2xfSWxsdXN0cl9Qcm9tb19QdWJsaWNhdGlvbl9JbnN0YWdyYW0uanBnIl1d/Noir%20Rouge%20No%C3%ABl%20Illustr%C3%A9%20Promo%20Publication%20Instagram.jpg
Le Manoir des Cygnes,Le Coudray-Montceaux,91,Île-de-France,manoir,https://lemanoirdescygnes.fr,lemanoirdescygnes@gmail.com,01 64 93 81 56,email+form,mx_ok,2026-06-07T18:29:57.911526,
Le Manoir de l'Île aux Loups,Nogent-sur-Marne,94,Île-de-France,manoir,https://manoirauxloups.com,renseignements@manoirauxloups.com,01 48 72 68 00,manual,smtp_unknown,2026-06-07T18:30:02.576013,http://www.manoirauxloups.com/wp-content/uploads/2013/06/1-manoir-ile-aux-loups.jpg
Domaine de la Roche Couloir,Chevreuse,78,Île-de-France,domaine,https://domainedelarochecouloir.com,elodie@domainesevenements.com,06 69 65 40 44,email+form,unchecked,2026-06-07T18:25:59.648694,https://cdn.prod.website-files.com/67b6ef9e77eb54f5aa2f064c/67ee4def29684a848ab80da1_rc-opengraph.jpg
La Ferme de la Corde,Férolles-Attilly,77,Île-de-France,ferme,https://fermedelacorde.com,contact@one-experience.fr,01 84 80 14 35,email+form,smtp_unknown,2026-06-07T18:27:50.640649,https://www.fermedelacorde.com/wp-content/uploads/2022/06/rs-base-ferme-01.jpg
La Grange des Mollières,La Villeneuve-en-Chevrie,78,Île-de-France,ferme,https://lagrangedesmollieres.fr,,01 34 76 14 69,form,no_email,2026-06-07T18:28:10.585326,https://www.lagrangedesmollieres.fr/wp-content/uploads/2026/03/Logo-noir-2026-La-Grange-des-Molieres-1.png
Beaumarchais Manor,Les Chapelles-Bourbon,77,Île-de-France,manoir,https://beaumarchais.eu,info@manoirdebeaumarchais.fr,01 64 07 11 08,email+form,unchecked,2026-06-07T18:21:46.360869,https://beaumarchais.eu/wp-content/uploads/2024/09/exterieur-manoir-beaumarchais-ete-soleil-scaled.jpg
Château du Vivier,Fontenay-Trésigny,77,Île-de-France,château,https://www.chateauduvivier.com,lechateauduvivier@gmail.com,06 86 63 63 18,email+form,unchecked,2026-06-07T18:25:03.071897,https://raw.githubusercontent.com/chateauduvivier/images/main/RtgQ0Osl.jpg
Château de Crénille,Chaumes-en-Brie,77,Île-de-France,château,https://chateau-de-crenille.com,,07 82 30 97 80,manual,no_email,2026-06-07T18:22:56.946080,
Château de Lésigny,Lésigny,77,Île-de-France,château,https://chateaudelesigny.com,CONTACT@CHATEAUDELESIGNY.COM,06 47 30 62 44,email+form,unchecked,2026-06-07T18:23:17.376818,"https://static.wixstatic.com/media/bf326d_3877f774fc0e49b9b65ec5b5b91b21a4%7Emv2.png/v1/fit/w_2500,h_1330,al_c/bf326d_3877f774fc0e49b9b65ec5b5b91b21a4%7Emv2.png"
Château de Maudétour,Maudétour-en-Vexin,95,Île-de-France,château,https://chateaudemaudetour.com,contact@chateaudemaudetour.com,06 16 06 12 20,email+form,smtp_unknown,2026-06-07T18:23:36.578535,https://www.chateaudemaudetour.com/media/9994f80c-f2c0-11ef-886e-3260d44c31e4/b12713d6-f2c2-11ef-86be-3260d44c31e4-8e5e7ee478a636043ba9a3305e06b2b7-edited/0-logo.svg
Château de Chaumontel,Chaumontel,95,Île-de-France,château,https://chateaudechaumontel.com,info@chateaudechaumontel.com,06 49 19 61 64,email+form,unchecked,2026-06-07T18:22:50.802006,https://chateaudechaumontel.com/wp-content/uploads/2025/11/chateau-chaumontel-accueil-diapo-1.jpg
Château de Montgeroult,Montgeroult,95,Île-de-France,château,https://chateaudemontgeroult.com,ch.montgeroult@orange.fr,01 34 42 71 03 / 06 79 73 18 23,email+form,unchecked,2026-06-07T18:23:57.656004,https://www.chateaudemontgeroult.com/wp-content/uploads/2023/12/Chateau-montgeroult-18.jpg
Domaine de Villarceaux,Chaussy,95,Île-de-France,domaine,https://villarceaux.iledefrance.fr,domainedevillarceaux@iledefrance.fr,01 53 85 53 85,manual,smtp_unknown,2026-06-07T18:26:29.639743,https://www.iledefrance.fr/sites/default/files/2026-04/villarceaux-banner-site-1368x347-1.jpg
Ferme du Parc,Chatignonville,91,Île-de-France,ferme,https://lafermeduparc.com,info@epicura-receptions.fr,06 47 83 42 78,email+form,unchecked,2026-06-07T18:27:39.266166,https://lafermeduparc.com/images/hero-section/Hero-1.webp
Le Moulin des Noues,Soisy-sur-École,91,Île-de-France,atypique,https://lemoulindesnoues.com,contact@lmdn.fr,06 64 90 64 24,email+form,smtp_unknown,2026-06-07T18:30:13.542875,https://lemoulindesnoues.com/wp-content/uploads/2016/07/04062016-MoulinDNoues-1-400x350.jpg
Le Couvent de Limours,Limours,91,Île-de-France,atypique,https://domaineducouvent.fr,barrobar@free.fr,06 11 01 80 96,email+form,mx_ok,2026-06-07T18:29:29.542319,http://domaineducouvent.fr/images/home/1.jpg
Domaine des Coccinelles,Angervilliers,91,Île-de-France,domaine,https://ledomainedescoccinelles.fr,secretariat.vtvm@gmail.com,01 34 83 05 51,manual,mx_ok,2026-06-07T18:25:06.124032,
Ferme de Montblin,Lisses,91,Île-de-France,ferme,https://fermedemontblin.com,info@fermedemontblin.com,01 64 57 27 59,email+form,smtp_unknown,2026-06-07T18:27:18.090751,
Les Barrés,Paris,75,Île-de-France,salle,https://lesbarres.com,contact@les-barres.com,09 50 14 65 00,manual,smtp_ok,2026-06-07T18:28:37.822306,http://www.lesbarres.com/images/logo.png
Pavillon Royal,Paris 16e,75,Île-de-France,salle,https://pavillon-royal.paris,info@pavillon-royal.paris,01 58 01 11 11,email+form,unchecked,2026-06-07T18:31:01.882388,https://pavillon-royal.paris/wp-content/uploads/2017/06/PAVILLON-ROYAL5217-1150x550.jpg
Le Cinéart,Nanterre,92,Île-de-France,atypique,https://lecineart.com,lecineart92@gmail.com,06 32 21 40 64,email+form,mx_ok,2026-06-07T18:29:16.229675,https://lecineart.com/wp-content/uploads/2024/11/le-cineart-salle-reception-ancien-cinema-1536x1152.jpg
Salons Lyna,Vitry-sur-Seine,94,Île-de-France,salle,https://lessalonslyna.eatbu.com,lessalonslyna@gmail.com,06 64 80 49 61,email+form,unchecked,2026-06-07T18:31:51.073918,https://cdn.website.dish.co/media/9c/4a/9003127/Les-Salons-Lyna-Logo-or-noir-CMJN-jpg.jpg
L'Event,Boissy-Saint-Léger,94,Île-de-France,salle,https://salonlevent.com,contact@salonlevent.com,06 34 60 01 75,manual,smtp_unknown,2026-06-07T18:29:01.428051,
Espace Eden,Villeparisis,77,Île-de-France,salle,https://salles-eden.fr,contact@salles-eden.fr,01 60 54 08 21,email+form,unchecked,2026-06-07T18:26:45.322535,https://salles-eden.fr/wp-content/uploads/2022/03/logo-espace-eden-white.png
Espace Venise,Sarcelles,95,Île-de-France,salle,https://espace-venise.com,info@espacevenise.com,01 39 90 53 75,email+form,unchecked,2026-06-07T18:26:55.120426,"https://static.wixstatic.com/media/3292d9_937f6107052f479c9eef4deffe83027b~mv2.png/v1/fill/w_2500,h_1633,al_c/3292d9_937f6107052f479c9eef4deffe83027b~mv2.png"
Salles Bacchus,Vitry-sur-Seine,94,Île-de-France,salle,https://sallesbacchus.fr,jimmarigeon@gmail.com,06 99 24 19 48,email+form,unchecked,2026-06-07T18:31:28.861233,
Domaine de la Corniche,Rolleboise,78,Île-de-France,hôtel,https://domainedelacorniche.com,contact@domainedelacorniche.com,01 30 93 20 00,email+form,unchecked,2026-06-07T18:25:40.133723,https://hapi.mmcreation.com/hapidam/d70c8b5a-1161-4b47-b096-7203148b729a/fond-logo.jpg.jpg?size=lg
La Ferme du Bois aux Dames,Soisy-Bouy,77,Île-de-France,ferme,https://lafermeduboisauxdames.fr,fermeduboisauxdames@gmail.com,07 82 03 14 36,email+form,unchecked,2026-06-07T18:27:57.634710,"https://static.wixstatic.com/media/178fe6_02a11b734a234aeeadf5d322e0f20957%7Emv2_d_1300_1300_s_2.jpg/v1/fit/w_2500,h_1330,al_c/178fe6_02a11b734a234aeeadf5d322e0f20957%7Emv2_d_1300_1300_s_2.jpg"
Le Moulin de Pommeuse,Pommeuse,77,Île-de-France,atypique,https://le-moulin-de-pommeuse.com,,01 64 75 29 45,form,no_email,2026-06-07T18:30:24.172331,http://www.le-moulin-de-pommeuse.com/wp-content/uploads/2017/09/bt-video.jpg
Le Nomade Lodge,La Chapelle-Gauthier,77,Île-de-France,atypique,https://nomade-lodge.com,infos@nomade-lodge.com,06 16 23 46 68,email+form,unchecked,2026-06-07T18:30:42.223922,https://nomade-lodge.com/images/ferme-nomade-lodge.jpg
Château de l'Hermitage,Ennery,95,Île-de-France,château,https://chateaudelhermitage.fr,contact@chateauhmt.com,01 30 30 09 15,manual,unchecked,2026-06-07T18:23:24.618043,https://hapi.mmcreation.com/hapidam/2870b7a9-5660-475a-8638-1c12ff6ce23d/hotel-chateau-de-lhermitage-exterieur-004.jpg?size=lg
Les Granges du Chesnay,Étampes,91,Île-de-France,ferme,https://lesgrangesduchesnay.fr,contact@lesgrangesduchesnay.fr,06 43 54 38 19,email+form,unchecked,2026-06-07T18:28:50.232752,https://lesgrangesduchesnay.fr/LESGRANGES2024/wp-content/uploads/2025/02/LIGNE-interstice-3.png
Quai 55,Boulogne-Billancourt,92,Île-de-France,péniche,https://quai55.com,contact@quai55.com,01 46 08 08 09,email+form,unchecked,2026-06-07T18:31:18.921989,https://www.quai55.com/wp-content/uploads/2023/09/bateau-le-Rive-Droite-la-nuit-notre-dame-3-e1698066859832-1024x640.jpg
Yachts de Paris,Paris,75,Île-de-France,bateau,https://yachtsdeparis.fr,,01 44 54 14 70,manual,no_email,2026-06-07T18:32:07.398107,https://yachtsdeparis.fr/sites/default/files/styles/push_lieu/public/2021-09/cachemire-tribord-vue-notre-dame-jour.jpg?itok=dlhwsDo4
Le VIP Paris Yacht Hôtel,Paris,75,Île-de-France,bateau,https://le-vip-paris.com,service.client@le-vip-paris.com,01 44 68 06 38,manual,unchecked,2026-06-07T18:30:53.069641,https://www.le-vip-paris.com/wp-content/uploads/2024/04/0004018.jpg
Château de Boury,Boury-en-Vexin,60,Proche IDF,château,https://chateaudeboury.fr,chateauboury@gmail.com,02 32 55 15 10,email+form,mx_ok,2026-06-07T18:22:29.614513,"https://static.wixstatic.com/media/b519ef_516baa0c42f44deca4a606fe19f3b62b%7Emv2.png/v1/fit/w_2500,h_1330,al_c/b519ef_516baa0c42f44deca4a606fe19f3b62b%7Emv2.png"
Château de Pontarmé,Pontarmé,60,Proche IDF,château,https://chateaudepontarme.com,info@chateaudepontarme.com,03 44 54 61 02,manual,unchecked,2026-06-07T18:24:02.471218,
Château d'Hénonville,Hénonville,60,Proche IDF,château,https://chateaudhenonville.com,chateaudhenonville@gmail.com,06 22 64 96 88,email+form,unchecked,2026-06-07T18:24:48.192465,"https://static.wixstatic.com/media/0940f0_39f260850a954edb8fa172f59d5d3289%7Emv2_d_5464_3070_s_4_2.jpg/v1/fit/w_2500,h_1330,al_c/0940f0_39f260850a954edb8fa172f59d5d3289%7Emv2_d_5464_3070_s_4_2.jpg"
